,time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
57,1583716680,2.5423,2.5423,2.5345,2.5345,2.545717517220813,1927.47752917,653.1978330390032,0.004146585485220632,-0.0013849295772798698,-0.005531515062500502,53.48230738652071,0.7201883375507094
58,1583716800,2.548,2.548,2.548,2.548,2.545717517220828,1.34e-06,637.0707611060033,0.004713897308004453,0.0003608565725050639,-0.004353040735499389,58.8044523649745,0.9474963791143928
59,1583717040,2.5372,2.5372,2.5372,2.5372,2.545697850855889,500.0,606.2080411665032,0.004172822153869695,0.0008629869568377303,-0.0033098351970319646,53.52819683336782,0.7145988159270158
60,1583717280,2.55,2.5534,2.55,2.5534,2.5457503528305088,1744.747465,593.3954144165032,0.0046789617866037705,0.002538867036222747,-0.0021400947503810224,59.41118441349681,1.0042744798213885
61,1583717340,2.5494,2.5614,2.5493,2.5614,2.54582582564259,1427.5689587000002,658.3652323105032,0.005280973540248284,0.004461122174929333,-0.0008198513653189512,61.971410292879455,1.077274346738747
62,1583717400,2.5536,2.5536,2.5536,2.5536,2.5458266449981783,23.16001408,593.7932269465032,0.004891162135776317,0.005294101304401444,0.00040293916862512786,58.12193723012754,0.8755085664128591
63,1583717520,2.569,2.58,2.569,2.58,2.5459462596308997,865.0,635.0627356730032,0.006071545903235335,0.007992371547669297,0.0019208256444339614,65.85325065149016,1.1624063941330838
64,1583717580,2.5829,2.5933,2.5829,2.5933,2.5461258565018556,906.50434777,679.2509175615032,0.007324370239871938,0.011076288444273885,0.0037519182044019467,68.96204629429259,1.1631450553442748
65,1583717640,2.5932,2.6102,2.5932,2.6102,2.546258442602645,503.9927398,696.8588163785033,0.008769973668339903,0.014714385289826826,0.005944411621486923,72.40050413787267,1.1610189655618357
66,1583717700,2.6129,2.6129,2.6129,2.6129,2.546263050385865,15.35223669,693.7264282130034,0.009334427006165071,0.01761244537919326,0.008278018373028192,72.91672265992544,1.0591553286028377
67,1583718000,2.6060000000000003,2.6060000000000003,2.6060000000000003,2.6060000000000003,2.546269102401473,22.49705938,686.3012811820032,0.008683078341248793,0.019131866299589184,0.01044878795834039,69.34703403851586,0.9331557071899008
68,1583718120,2.62,2.62,2.62,2.62,2.5472344417529182,2945.93325,752.5420178865035,0.008617831990174254,0.02122107794605821,0.012603245955883954,72.30915649085857,0.9652479428554168
69,1583718300,2.6262,2.6262,2.6062,2.6062,2.5474234440567383,649.82263349,781.0331495610036,0.007129590699819898,0.021515234330658828,0.014385643630838931,65.58172793441699,0.8272236105232282
70,1583718420,2.6165,2.6165,2.6085,2.6085,2.5474501346550005,94.52594798,738.2670411885035,0.005838674425252152,0.02168398666240412,0.01584531223715197,66.14703695960296,0.8095862182582546
71,1583718600,2.6223,2.6283,2.6222,2.6283,2.548588779325568,3309.15844092,863.7249632345033,0.005842611208760791,0.02314857624810296,0.017305965039342168,70.62067378679582,0.8984481523559484
